Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Label Themes,Catalog,Filename,Internal ID,Unique Entry ID,category
acorn pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderAcorn0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderAcorn0.png,Brown,Yes,NFS,2400,Brown,Green,1x1,Crafting,Fall seasonal DIY using acorns (from shaking trees),1.0.0,Cute,fairy tale,Not for sale,BagShoulderAcorn0,7492,XiC7bNzTBAdb8zWwr,bags
basket pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBasket0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBasket0.png,Green,Yes,NFS,2400,Green,Green,1x1,Crafting,,1.0.0,Simple,outdoorsy; work,Not for sale,BagBackpackBasket0,7506,BW764rj9aH3QL6GRH,bags
bug cage,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCage0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCage0.png,Green,No,NFS,122,Green,White,1x1,Bug-Off,,1.0.0,Active,outdoorsy; vacation,Not for sale,BagShoulderCage0,7479,nrkEKkL46YsQYcYjp,bags
Bunny Day bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackEgg0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackEgg0.png,None,Yes,NFS,2400,Colorful,Colorful,1x1,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0a,Active,fairy tale; party; theatrical,Not for sale,BagBackpackEgg0,12447,YGofzAZknSTYWmfWM,bags
butterfly backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackButterfly0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackButterfly0.png,Pink,No,NFS,210,Pink,Yellow,1x1,Bug-Off,,1.0.0,Cute,everyday; formal; party,Not for sale,BagBackpackButterfly0,7502,unsmeHZemRaTnq62z,bags
canvas backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTote0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTote0.png,White,No,1300,325,White,Orange,1x1,Kicks,,1.0.0,Simple,everyday,For sale,BagBackpackTote0,7509,ZtgYddBwpZfGMjewu,bags
cherry-blossom pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCherryblossoms0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCherryblossoms0.png,Pink,Yes,NFS,2400,Pink,Pink,1x1,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),1.0.0,Cute,fairy tale,Not for sale,BagShoulderCherryblossoms0,7490,wwkZdhj9HzxZiqHys,bags
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas0.png,Blue,No,1400,350,Light blue,Light blue,1x1,Kicks,,1.0.0,Simple,everyday,For sale,BagShoulderCanvas0,7487,DzoRrArWrKtzn6Xzc,bags
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas1.png,Orange,No,1400,350,Orange,Orange,1x1,Kicks,,1.0.0,Simple,everyday,For sale,BagShoulderCanvas1,12013,dcpCgBwji4QCYAy8k,bags
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas2.png,Ivory,No,1400,350,White,White,1x1,Kicks,,1.0.0,Simple,everyday,For sale,BagShoulderCanvas2,12014,NfkYKg5NoaWKBEpzN,bags
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody0.png,Pink,No,700,175,Pink,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackBody0,7483,zXtyCFHwWjnChTami,bags
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody1.png,Green,No,700,175,Green,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackBody1,11980,tbfNwy8RmGztJdAnn,bags
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody2.png,Yellow,No,700,175,Yellow,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackBody2,11981,zX6ZX4puTojGuJgGj,bags
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody3.png,White,No,700,175,White,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackBody3,11982,FsyHb5QAf8DDvPC7y,bags
crossbody boston bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderDrum0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderDrum0.png,Red,No,1680,420,Red,Black,1x1,Kicks,,1.0.0,Simple,everyday; outdoorsy; sporty,For sale,BagShoulderDrum0,7485,8MwDxuHHvYM3XJpmy,bags
crossbody boston bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderDrum1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderDrum1.png,Blue,No,1680,420,Blue,Black,1x1,Kicks,,1.0.0,Simple,everyday; outdoorsy; sporty,For sale,BagShoulderDrum1,12011,w98ZrTQWiRMHyveaa,bags
DAL backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDal0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDal0.png,Blue,No,NFS,1010,Blue,Black,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Cool,outdoorsy; vacation,Not for sale,BagBackpackDal0,12131,3mGmqSPj5YPujiDgD,bags
dry bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDry0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDry0.png,Yellow,No,1040,260,Yellow,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackDry0,7471,iwTpuxykXjSBi8b9a,bags
dry bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDry1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDry1.png,Blue,No,1040,260,Blue,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackDry1,11964,cMoNDoZx2sdfD6Haz,bags
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty0.png,Pink,No,1250,312,Pink,Yellow,1x1,Kicks,,1.0.0,Cute,formal; party,For sale,BagShoulderParty0,7305,tZhGqzKpEeEweTZi7,bags
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty1.png,Blue,No,1250,312,Blue,Yellow,1x1,Kicks,,1.0.0,Cute,formal; party,For sale,BagShoulderParty1,11976,SoJkNi7GNiW28tYuG,bags
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty2.png,Black,No,1250,312,Black,Yellow,1x1,Kicks,,1.0.0,Cute,formal; party,For sale,BagShoulderParty2,11977,x9Z63uLS8cHdsoczj,bags
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain0.png,Red,No,2100,525,Red,Red,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackMountain0,7505,sjT2tZJCMpWQNmhTy,bags
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain1.png,Green,No,2100,525,Green,Green,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackMountain1,11971,MKeBKrETSTs4tyrg4,bags
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain2.png,Black,No,2100,525,Black,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackMountain2,11972,HqReXLwGPigWMiJbS,bags
