Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Label Themes,Catalog,Filename,Internal ID,Unique Entry ID,category
acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical0.png,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy,For sale,BottomsTexPantsNormalChemical0,5286,QaecPktemD3XuFdwy,bottoms
acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical1.png,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy,For sale,BottomsTexPantsNormalChemical1,11385,a7HNjgRFkCznkDLLH,bottoms
animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe0.png,Tiger,No,1100,275,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,everyday,For sale,BottomsTexSkirtBoxStripe0,9842,qmtHwBmtJDvtNntTs,bottoms
animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe1.png,Zebra,No,1100,275,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,everyday,For sale,BottomsTexSkirtBoxStripe1,12067,4mDRmSG3scfXh3oon,bottoms
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron0.png,Purple,No,700,175,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,work,For sale,BottomsTexSkirtBoxApron0,5710,MtsvEMQ9Z9damsycd,bottoms
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron1.png,Blue,No,700,175,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,work,For sale,BottomsTexSkirtBoxApron1,8921,cfzi35RpY8onR3hra,bottoms
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron2.png,Beige,No,700,175,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,work,For sale,BottomsTexSkirtBoxApron2,8922,AmWS5iMbatqDr2eLs,bottoms
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey0.png,Red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey0,3311,iL9vd8DerEEJDJQbA,bottoms
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey1.png,Green,No,880,220,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey1,11295,Ygp8L2zeem8ECZroK,bottoms
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey2.png,Black,No,880,220,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey2,11296,8NcTmEpkckocYvTf2,bottoms
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey3.png,Blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey3,11297,R6apb74ivZCDbvEvi,bottoms
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey4.png,Berry red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey4,11298,HSgcZgAkXCBroWboG,bottoms
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey5.png,Navy blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey5,11299,zauG7p57gDAPSqPH4,bottoms
