Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Label Themes,Catalog,Primary Shape,Secondary Shape,Filename,Internal ID,Unique Entry ID,category
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki0.png,Navy blue,No,2080,520,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal; party,For sale,Box,L,TopsTexOnepieceBoxLYosoiki0,2699,yfbZu5Nj6wtJSnuDW,dresses
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki1.png,Gray,No,2080,520,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal; party,For sale,Box,L,TopsTexOnepieceBoxLYosoiki1,9016,zbKRm5Cv5dyiz3y35,dresses
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki2.png,Red,No,2080,520,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal; party,For sale,Box,L,TopsTexOnepieceBoxLYosoiki2,9017,3FSAsaikyEjHkLWcM,dresses
adventure dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHStrangeBlue.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHStrangeBlue.png,Blue,No,2800,700,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale,For sale,Balloon,H,TopsTexOnepieceBalloonHStrangeBlue,3686,AQZFR4Bzob9Phsr9R,dresses
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean0.png,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,everyday; formal,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean0,3168,rN77JmGnpSNNeQogP,dresses
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean1.png,Blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,everyday; formal,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean1,8615,zkWYtfW3WeDbdSQuy,dresses
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean2.png,Red,No,2520,630,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,everyday; formal,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean2,8616,TkEkCuYTjTEu38axs,dresses
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean0.png,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean0,4443,vzaWMkA2s7R6SefHa,dresses
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean1.png,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean1,8631,onM7CM229PHZyRjPd,dresses
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean2.png,Red,No,2520,630,Red,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean2,8632,WWbNFkaxwJMGLSBYj,dresses
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen0.png,Blue,No,3640,910,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen0,5518,W2KoH5jp8b43CHbsK,dresses
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen1.png,Green,No,3640,910,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen1,9158,Ta6QSCmpE9nybMPxA,dresses
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen2.png,Beige,No,3640,910,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen2,9159,DFxZQJWvqjzGxpEWw,dresses
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen3.png,White,No,3640,910,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen3,9160,Fcbj8smE8XoZJuH3h,dresses
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen4.png,Purple,No,3640,910,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen4,9161,2Pz2drQkcbzDF5dXX,dresses
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,Green,No,2520,630,Green,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen0,5519,9ia2ueaAKgT25KpLq,dresses
