Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Label Themes,Catalog,Filename,Internal ID,Unique Entry ID,category
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn0.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn0.png,Chestnut,No,880,220,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn0,5315,awiucsYWz5zP8GpRg,headware
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn1.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn1.png,Mustard,No,880,220,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn1,10933,ezAwHKyeN45mGvvpH,headware
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn2.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn2.png,Avocado,No,880,220,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn2,10934,we44e3C8foQySY2y7,headware
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn3.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn3.png,Berry red,No,880,220,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn3,10935,EfbMmL5YGZYtZNgHe,headware
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn4.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn4.png,Navy blue,No,880,220,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn4,10936,FYrdavXDtZWRQ2MqQ,headware
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn5.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn5.png,Cream,No,880,220,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn5,10937,XTXWXam7Wjt59MTr8,headware
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean0.png,Green,No,NFS,500,Green,Green,1x1,Gulliver,,1.0.0,Simple,everyday; formal,Not for sale,CapHatTyrolean0,5295,mYej2cYc7x6mGC8Dj,headware
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean1.png,Blue,No,NFS,500,Blue,Light blue,1x1,Gulliver,,1.0.0,Simple,everyday; formal,Not for sale,CapHatTyrolean1,11884,e45yoPx7fjTd9cSwk,headware
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean2.png,Red,No,NFS,500,Red,Pink,1x1,Gulliver,,1.0.0,Simple,everyday; formal,Not for sale,CapHatTyrolean2,11885,mKejTXKMxXnRBkk4B,headware
ancient administrator hat,https://acnhcdn.com/latest/ClosetIcon/CapHatKanboBlack.png,https://acnhcdn.com/latest/FtrIcon/CapHatKanboBlack.png,Black,No,NFS,800,Black,Black,1x1,Gulliver,,1.0.0,Elegant,formal; work,Not for sale,CapHatKanboBlack,6048,BNBBbdP7uZbY2r3zw,headware
