Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID,category
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_0_0.png,Natural,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Beige,Brown,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP,housewares
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_1_0.png,Cherry,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Red,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR,housewares
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_2_0.png,Brown,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Brown,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_2_0,2_0,383,vLq9iphAvALBXazDr,housewares
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_3_0.png,Blue,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Blue,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_3_0,3_0,383,nuqeFzNE5PneqGHaj,housewares
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_4_0.png,White,Body,NA,NA,Yes,Yes,No,5,NFS,3210,White,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_4_0,4_0,383,DotFsojrhCwrLZ3TF,housewares
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_5_0.png,Black,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Black,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_5_0,5_0,383,RuRMFyvWnDC2SoG8m,housewares
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_6_0.png,Pink,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Pink,White,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_6_0,6_0,383,NWv9CJfSPtBTKoL4B,housewares
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1100,275,White,White,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_0_0,0_0,3821,J4inuBziPCSGZNEPM,housewares
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_1_0.png,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F,housewares
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_2_0.png,Pink,NA,NA,NA,No,No,No,NA,1100,275,Pink,Pink,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_2_0,2_0,3821,uAY6FFGdXWeAG9gMa,housewares
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_3_0.png,Green,NA,NA,NA,No,No,No,NA,1100,275,Green,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_3_0,3_0,3821,bGCQ9bA27ftHoLoKb,housewares
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_4_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100,275,Yellow,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_4_0,4_0,3821,5pBqNZaZWveKR6K5s,housewares
alto saxophone,https://acnhcdn.com/latest/FtrIcon/FtrAltosax.png,NA,NA,NA,NA,No,No,No,NA,3400,850,Yellow,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,For sale,FtrAltosax,NA,846,yAj7DyFRDjWbh7qYP,housewares
anatomical model,https://acnhcdn.com/latest/FtrIcon/FtrAnatomicalmodel.png,NA,NA,NA,NA,No,No,No,NA,3500,875,Colorful,Beige,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,None,None,No,Hospital,Does not play music,No lighting,For sale,FtrAnatomicalmodel,NA,1317,t2LzAKDofAZYyqZ6r,housewares
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_0_0.png,Black,Color,NA,NA,No,Yes,No,2,NFS,1400,Black,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_0_0,0_0,7238,zgw6WaZRQgrpQ5FTC,housewares
