Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID,category
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1500,375,White,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_0_0,0_0,3948,GWNqLnfaoEkGSFFkF,miscellaneous
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_1_0.png,Pink,NA,NA,NA,No,No,No,NA,1500,375,Pink,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_1_0,1_0,3948,Sg24qRStpGERdwjyn,miscellaneous
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,1500,375,Black,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_2_0,2_0,3948,e5hQbi4JvpYYtRSM7,miscellaneous
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,1500,375,Brown,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_3_0,3_0,3948,BXBsfGQsnNfJqkQjm,miscellaneous
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_4_0.png,Light blue,NA,NA,NA,No,No,No,NA,1500,375,Light blue,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_4_0,4_0,3948,jfpXGQCTjbg65PCD9,miscellaneous
ACNH Nintendo Switch,https://acnhcdn.com/latest/FtrIcon/FtrSwitchAC.png,NA,NA,NA,NA,No,No,No,NA,35960,8990,Green,Light blue,1x1,"Nintendo
Nook Shopping",,1.1.0,child's room,living room,None,None,No,Game Console,Does not play music,Emission,For sale,FtrSwitchAC,NA,12579,4AgPRnxhoQ922pQ4M,miscellaneous
agrias butterfly model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiirotatehaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,9000,Pink,Purple,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectMiirotatehaToy,NA,7080,6SKoKnXhrf2dk6JZb,miscellaneous
aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_0_0.png,Stacks of cash,NA,NA,NA,No,No,No,NA,100000,25000,Gray,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,expensive,None,None,Yes,Office,Does not play music,No lighting,For sale,FtrDuralumincase_Remake_0_0,0_0,7453,7ovsY7XPNCW3YQAJA,miscellaneous
aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_1_0.png,Gold bars,NA,NA,NA,No,No,No,NA,100000,25000,Gray,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,expensive,None,None,Yes,Office,Does not play music,No lighting,For sale,FtrDuralumincase_Remake_1_0,1_0,7453,Yympao5irjJgMNW6d,miscellaneous
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_0_0.png,Black,NA,NA,NA,No,No,No,NA,5100,1275,Black,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_0_0,0_0,849,p7Drmf7Jh2eNhbcos,miscellaneous
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,5100,1275,White,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_1_0,1_0,849,MyyKQjQLoNwRBxotN,miscellaneous
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_2_0.png,Orange,NA,NA,NA,No,No,No,NA,5100,1275,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_2_0,2_0,849,RvK5HfWmj3JiarEuv,miscellaneous
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,5100,1275,Brown,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_3_0,3_0,849,tBcdytBjuxSm9d2fZ,miscellaneous
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,5100,1275,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_4_0,4_0,849,AmLfDtSibYyBDrMmY,miscellaneous
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_5_0.png,Red,NA,NA,NA,No,No,No,NA,5100,1275,Red,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_5_0,5_0,849,9PHmPyxF6fjKgGzKA,miscellaneous
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_6_0.png,Pink,NA,NA,NA,No,No,No,NA,5100,1275,Pink,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_6_0,6_0,849,yivR6nwwzFWyQ5ogM,miscellaneous
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_0_0.png,Red,NA,NA,NA,No,No,No,NA,1100,275,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_0_0,0_0,3993,6WMJcEFXoWt9mmtvE,miscellaneous
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_1_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_1_0,1_0,3993,YfYgj2jXPy6sip9Qu,miscellaneous
