Name,Image,DIY,Buy,Sell,Source,Source Notes,Tag,Version,Filename,Internal ID,Unique Entry ID,category
acorn,https://acnhcdn.com/acdb/other/DIYAcorn.png,,NFS,200,Shaking a hardwood tree (Fall),,NA,1.0.0,DIYAcorn,5727,LWRPyLkySfCNkDvdv,other
apple,https://acnhcdn.com/acdb/other/Apple.png,,400,500,Apple tree,,NA,1.0.0,Apple,2213,iTWs2LBrcFu8XyDMF,other
apple tree,https://acnhcdn.com/acdb/other/PltApple.png,,NFS,300,Planting an apple,,Plants,1.0.0,PltApple4,3360,4BFZn59FMC5eyCKXS,other
Aquarius fragment,https://acnhcdn.com/acdb/other/StarpieceAquarius.png,,NFS,500,Wishing on shooting stars (January 20 - February 18),,NA,1.0.0,StarpieceAquarius,5986,sHWduQNusYLWRjhzb,other
Aries fragment,https://acnhcdn.com/acdb/other/StarpieceAries.png,,NFS,500,Wishing on shooting stars (March 21 - April 19),,NA,1.0.0,StarpieceAries,5988,D5JE2Ypt5vZ3C4EM6,other
bamboo piece,https://acnhcdn.com/acdb/other/DIYBamboo.png,,NFS,80,Chopping a bamboo tree,,NA,1.0.0,DIYBamboo,2501,RJpF9Apqi52AqPP25,other
bamboo shoot,https://acnhcdn.com/acdb/other/BambooShoot.png,,NFS,250,Dig spot near a bamboo tree,,NA,1.0.0,BambooShoot,2295,kTmS9FFMxJFuCS7vr,other
bamboo tree,https://acnhcdn.com/acdb/other/PltBamboo.png,,NFS,1500,Planting a bamboo shoot,,Plants,1.0.0,PltBamboo4,2815,m6And8qdTfySMh9kR,other
Bell bag,https://acnhcdn.com/acdb/other/PhotoStudioBellBag.png,,NFS,NA,Glowing dig spot,,NA,1.0.0,PhotoStudioBellBag,7731,MwHcZBfqcJ5vJzRqZ,other
birthday cupcake,https://acnhcdn.com/acdb/other/BirthdayCupcake.png,,NFS,200,Birthday,,Seasonal Decor,1.0.0,BirthdayCupcake,2779,Q5HRfFvkBvPw8TFPR,other
black cosmos,https://acnhcdn.com/acdb/other/FlwCosmosBlack.png,,NFS,240,Picking flowers,,Plants,1.0.0,FlwCosmosBlack,2875,QveR5KriJ63ZvAmQs,other
black lilies,https://acnhcdn.com/acdb/other/FlwYuriBlack.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwYuriBlack,2999,GJEkbwJexHSSq3Kvp,other
black roses,https://acnhcdn.com/acdb/other/FlwRoseBlack.png,,NFS,240,Picking flowers,,Plants,1.0.0,FlwRoseBlack,2955,RAxXqgdwa6Jb3fKFX,other
black tulips,https://acnhcdn.com/acdb/other/FlwTulipBlack.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwTulipBlack,2903,WGvGEjXRYjucLHity,other
black wrapping paper,https://acnhcdn.com/acdb/other/WPaperBlack.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperBlack,7698,e726AGFuzKwPdeNZu,other
black-cosmos plant,https://acnhcdn.com/acdb/other/PltCosmos5.png,,NFS,240,Red/red cosmos,,Plants,1.0.0,PltCosmosBlack3,3834,o54h94yBpGiSSfKkr,other
black-lily plant,https://acnhcdn.com/acdb/other/PltYuri5.png,,NFS,80,Red/red lilies,,Plants,1.0.0,PltYuriBlack3,3896,RgsTH72gphGY6AHsK,other
black-rose plant,https://acnhcdn.com/acdb/other/PltRose6.png,,NFS,240,Red/red roses,,Plants,1.0.0,PltRoseBlack3,3874,suqNAcWRFj6JJZKuk,other
black-tulip plant,https://acnhcdn.com/acdb/other/PltTurip5.png,,NFS,80,Red/red tulips,,Plants,1.0.0,PltTulipBlack3,3848,2aiEhGHeGqQG725zX,other
Blathers's tent marker,https://acnhcdn.com/acdb/other/TentWhite.png,,NFS,NA,Tom Nook,,NA,1.0.0,MuseumTent,2755,57HSnpzwFHuTfBiyf,other
blue hyacinths,https://acnhcdn.com/acdb/other/FlwHyacinthBlue.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwHyacinthBlue,3748,K6yui8FLmJvwNcfL4,other
blue ornament,https://acnhcdn.com/acdb/other/DIYOrnamentBlue.png,,NFS,50,Shaking a cedar tree (Festive Season),,NA,1.0.0,DIYOrnamentBlue,5731,s38Tms3PpjpWGnFtn,other
blue pansies,https://acnhcdn.com/acdb/other/FlwPansyBlue.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwPansyBlue,2927,mNBAQ7xCjndP63TW8,other
blue roses,https://acnhcdn.com/acdb/other/FlwRoseBlue.png,,NFS,1000,Picking flowers,,Plants,1.0.0,FlwRoseBlue,2959,C39ncDcJ44My6qoQm,other
blue windflowers,https://acnhcdn.com/acdb/other/FlwAnemonesBlue.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwAnemonesBlue,3717,JmHWXFZvvgpJYrg8Z,other
blue wrapping paper,https://acnhcdn.com/acdb/other/WPaperBlue.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperBlue,7692,FK3PwoipGayPzS4SW,other
blue-hyacinth plant,https://acnhcdn.com/acdb/other/PltHyacinth6.png,,NFS,80,White/white hyacinths,,Plants,1.0.0,PltHyacinthBlue3,3920,MNT54SyQWEWfaQAc6,other
blue-hydrangea bush,https://acnhcdn.com/latest/MenuIcon/PltHydrangeaBlue.png,No,560,140,,,NA,1.2.0,PltHydrangeaBlue2,3800,trgrtapDMZkkyDfiz,other
blue-hydrangea nursery,https://acnhcdn.com/latest/MenuIcon/PltHydrangeaBlue.png,No,280,70,,,NA,1.2.0,PltHydrangeaBlue0,12749,dGy5iDQkBijsuNMLM,other
blue-hydrangea start,https://acnhcdn.com/latest/ShopPlant/SeedHydrangeaBlue.png,No,280,70,,,NA,1.2.0,SeedHydrangeaBlue,3798,GNsNR4uHsjm4B7XJr,other
blue-pansy plant,https://acnhcdn.com/acdb/other/PltPansi5.png,,NFS,80,White/white pansies,,Plants,1.0.0,PltPansyBlue3,3860,Zd4CiamQfSEbYcymn,other
blue-rose plant,https://acnhcdn.com/acdb/other/PltRose7.png,,NFS,1000,Orange/orange roses,,Plants,1.0.0,PltRoseBlue3,3876,XXDs7bACfxsb5ospo,other
blue-windflower plant,https://acnhcdn.com/acdb/other/PltAnemone5.png,,NFS,80,"White/white windflowers
Orange/white windflowers",,Plants,1.0.0,PltAnemonesBlue3,3902,A4yXEFxhamZ2fCfmG,other
boot,https://acnhcdn.com/acdb/other/TrashBoot.png,,40,10,Fishing,Medium shadow,NA,1.0.0,TrashBoot,3469,7jBpMwNw25uQW345e,other
bridge construction kit,https://acnhcdn.com/acdb/other/TentWhite.png,,NFS,NA,Tom Nook,,Outdoors Decor,1.0.0,BridgeLogReserveKit,7211,qT8ewTJpgMGSEENoY,other
