Name,Image,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Catalog,Filename,Internal ID,Unique Entry ID,category
Admiral's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBrd06.png,1000,250,Green,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlBrd06,10814,3LW8HyqLZTJRaGQT9,posters
Agent S's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu05.png,1000,250,Blue,Gray,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlSqu05,10425,bZu92nbNfGmQvp54D,posters
Agnes's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPig17.png,1000,250,Pink,Black,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPig17,10401,2wZBfe8Ed7QMvQ8tX,posters
Al's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor08.png,1000,250,Red,Light blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlGor08,10590,sat2PG8L97DymZbQw,posters
Alfonso's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd00.png,1000,250,Orange,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlCrd00,10382,NjW35Zc7MnTipYZbg,posters
Alice's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKal01.png,1000,250,Beige,White,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlKal01,10411,M89MiTg6MwBt38bYC,posters
Alli's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd01.png,1000,250,Light blue,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlCrd01,10655,6yDr388PQngpmfKyw,posters
Amelia's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr01.png,1000,250,Red,White,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPbr01,10687,xDPzyfpuH42GzRP25,posters
Anabelle's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt03.png,1000,250,Yellow,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlAnt03,10800,BpX27retKhbmi8f3F,posters
Anchovy's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBrd02.png,1000,250,Brown,Light blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlBrd02,10782,fNnTbreeuJ9AxCA6M,posters
Angus's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBul00.png,1000,250,Red,Orange,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlBul00,10807,wGwxFH8nwYXuDj8Mv,posters
Anicotti's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus10.png,1000,250,Green,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlMus10,10413,YFQoYdCCWf74rHXxX,posters
Ankha's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCat19.png,1000,250,Yellow,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlCat19,10416,YNxQgR8caq9EAvm8b,posters
Annalisa's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt08.png,1000,250,Beige,Pink,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlAnt08,10824,QLhdJiM4EPJBdZvZD,posters
Annalise's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHrs09.png,1000,250,Brown,Purple,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHrs09,10573,KeP7vMfGPMihtEeRN,posters
Antonio's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt01.png,1000,250,Blue,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlAnt01,10795,TeuSXPWPNyvqpWyF7,posters
Apollo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr00.png,1000,250,Black,White,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPbr00,10512,SiD2CXoom2ufiKaHY,posters
Apple's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHam01.png,1000,250,Red,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHam01,10565,fqWJTtNBSXH4JTa4W,posters
Astrid's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKgr05.png,1000,250,White,Black,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlKgr05,10493,ha3PS72Re4aZznfPB,posters
Audie's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlWol12.png,1000,250,Red,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlWol12,10859,ji4EcitFLpu8pxguu,posters
Aurora's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPgn00.png,1000,250,Black,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPgn00,10563,iPnQ3k2KAts6ZohZu,posters
Ava's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn05.png,1000,250,Beige,Pink,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlChn05,10467,XuCCq3DgwaAREjgnY,posters
Avery's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr05.png,1000,250,Gray,Black,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPbr05,10370,5aP6GoQ2YiTHaN523,posters
Axel's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlElp06.png,1000,250,Blue,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlElp06,10319,5BGYmdDam5ddHkktX,posters
Baabara's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlShp01.png,1000,250,Brown,Light blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlShp01,10508,hmmcqfFiWWoWNQfre,posters
Bam's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer01.png,1000,250,Blue,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDer01,10456,N5FWLxwNYM2Qb4CsD,posters
Bangle's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlTig03.png,1000,250,Brown,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlTig03,10672,waGuCcp47Jd8riQgL,posters
Barold's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCbr16.png,1000,250,Gray,Black,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlCbr16,10583,F9dscB8bM2NRt4DHz,posters
