Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Label Themes,Catalog,Filename,Internal ID,Unique Entry ID,category
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique0.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique0.png,Brown,No,2640,660,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; fairy tale,For sale,ShoesKneeAntique0,5523,jQ9MMJXSCde9q8NPP,shoes
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique1.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique1.png,Black,No,2640,660,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; fairy tale,For sale,ShoesKneeAntique1,11689,hpTunJzb4CJPueMW7,shoes
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique2.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique2.png,Greige,No,2640,660,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; fairy tale,For sale,ShoesKneeAntique2,11690,ngk8sGuhSHQoBmwqv,shoes
armor shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeKnightIron.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeKnightIron.png,Gray,Yes,NFS,3000,Gray,Gray,1x1,Crafting,,1.0.0,Cool,fairy tale; goth,Not for sale,ShoesKneeKnightIron,5472,osBLFxSiCDnRf8eXR,shoes
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush0.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush0.png,Blue,No,560,140,Light blue,White,1x1,Kicks,,1.0.0,Cute,comfy; vacation,For sale,ShoesSandalBaboush0,6043,AvkHgWmEW5vTs4Ckc,shoes
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush1.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush1.png,Orange,No,560,140,Orange,White,1x1,Kicks,,1.0.0,Cute,comfy; vacation,For sale,ShoesSandalBaboush1,10109,hzHj4PYSRpa8fkQey,shoes
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush2.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush2.png,Pink,No,560,140,Pink,White,1x1,Kicks,,1.0.0,Cute,comfy; vacation,For sale,ShoesSandalBaboush2,10110,KrfcX2z6gFKZziGwx,shoes
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush3.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush3.png,Yellow,No,560,140,Yellow,White,1x1,Kicks,,1.0.0,Cute,comfy; vacation,For sale,ShoesSandalBaboush3,10111,BRTZYzjci4T3qodP8,shoes
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush4.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush4.png,Gray,No,560,140,Gray,Yellow,1x1,Kicks,,1.0.0,Cute,comfy; vacation,For sale,ShoesSandalBaboush4,10112,N9jHqLCE8WsfZxJHo,shoes
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush5.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush5.png,Purple,No,560,140,Purple,Yellow,1x1,Kicks,,1.0.0,Cute,comfy; vacation,For sale,ShoesSandalBaboush5,10113,sth7EXmjdbwzk439A,shoes
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush6.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush6.png,Mint,No,560,140,Green,Yellow,1x1,Kicks,,1.0.0,Cute,comfy; vacation,For sale,ShoesSandalBaboush6,10114,okW9rusWLMPm4bcDz,shoes
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush7.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush7.png,Red,No,560,140,Red,Yellow,1x1,Kicks,,1.0.0,Cute,comfy; vacation,For sale,ShoesSandalBaboush7,10115,EZKKTpCAN4CEvJJwC,shoes
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet0.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet0.png,Pink,No,2200,550,Pink,Pink,1x1,Kicks,,1.0.0,Elegant,fairy tale; sporty; theatrical; work,For sale,ShoesLowcutBallet0,5608,uABG45ozFPCwrBXuS,shoes
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet1.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet1.png,Mint,No,2200,550,Light blue,Light blue,1x1,Kicks,,1.0.0,Elegant,fairy tale; sporty; theatrical; work,For sale,ShoesLowcutBallet1,10155,bE4c36LYqcRmkajHL,shoes
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet2.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet2.png,Blue,No,2200,550,Blue,Blue,1x1,Kicks,,1.0.0,Elegant,fairy tale; sporty; theatrical; work,For sale,ShoesLowcutBallet2,10156,jJ565rnrzozyhRNYP,shoes
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet3.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet3.png,Purple,No,2200,550,Purple,Purple,1x1,Kicks,,1.0.0,Elegant,fairy tale; sporty; theatrical; work,For sale,ShoesLowcutBallet3,10157,kuEQdTi7ZXLw5AZgR,shoes
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet4.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet4.png,Black,No,2200,550,Black,Black,1x1,Kicks,,1.0.0,Elegant,fairy tale; sporty; theatrical; work,For sale,ShoesLowcutBallet4,10158,oQNLiop5Do6CH5eTu,shoes
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet5.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet5.png,White,No,2200,550,Beige,Beige,1x1,Kicks,,1.0.0,Elegant,fairy tale; sporty; theatrical; work,For sale,ShoesLowcutBallet5,10159,cQt3ftJejYwuPrqWS,shoes
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet6.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet6.png,Yellow,No,2200,550,Yellow,Yellow,1x1,Kicks,,1.0.0,Elegant,fairy tale; sporty; theatrical; work,For sale,ShoesLowcutBallet6,10160,Qv7eADgLwdsNuSBZZ,shoes
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet7.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet7.png,Red,No,2200,550,Orange,Orange,1x1,Kicks,,1.0.0,Elegant,fairy tale; sporty; theatrical; work,For sale,ShoesLowcutBallet7,10161,CpLSLkvz3Jo982p6e,shoes
basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket0.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket0.png,Red,No,1500,375,Red,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,sporty; work,For sale,ShoesHighcutBasket0,5638,7xRWZmoxAaCxRYMuJ,shoes
basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket1.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket1.png,Green,No,1500,375,Green,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,sporty; work,For sale,ShoesHighcutBasket1,10060,uRRCWDgRkrABjPdyg,shoes
basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket2.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket2.png,Beige,No,1500,375,Beige,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,sporty; work,For sale,ShoesHighcutBasket2,10061,9qivZWfCZucqweqBJ,shoes
basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket3.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket3.png,Orange,No,1500,375,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,sporty; work,For sale,ShoesHighcutBasket3,10062,McTum2E4XpJfhavsX,shoes
basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket4.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket4.png,Blue,No,1500,375,Blue,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,sporty; work,For sale,ShoesHighcutBasket4,10063,rixr4TkNPxrXrRRcw,shoes
basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket5.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket5.png,Purple,No,1500,375,Purple,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,sporty; work,For sale,ShoesHighcutBasket5,10064,ryZhP2vjw4vQNiPMx,shoes
basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket6.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket6.png,Light blue,No,1500,375,Light blue,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,sporty; work,For sale,ShoesHighcutBasket6,10065,JhY975aRNditFYyhm,shoes
basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket7.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket7.png,Pink,No,1500,375,Pink,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,sporty; work,For sale,ShoesHighcutBasket7,10066,a7uqKcknGcWHoD43C,shoes
beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads0.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads0.png,Orange,No,1800,450,Orange,Colorful,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Gorgeous,everyday; comfy; vacation,For sale,ShoesSandalBeads0,5478,otoeZ6wQmT38HECcy,shoes
beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads1.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads1.png,Purple,No,1800,450,Purple,Colorful,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Gorgeous,everyday; comfy; vacation,For sale,ShoesSandalBeads1,10137,kCEzmje6LKzAuHemd,shoes
beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads2.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads2.png,Yellow,No,1800,450,Yellow,Colorful,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Gorgeous,everyday; comfy; vacation,For sale,ShoesSandalBeads2,10138,pwpLSaDGk58SSvJYe,shoes
beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads3.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads3.png,Red,No,1800,450,Red,Colorful,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Gorgeous,everyday; comfy; vacation,For sale,ShoesSandalBeads3,10139,ukMZbdaNwYXQgdzEJ,shoes
beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads4.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads4.png,Green,No,1800,450,Green,Colorful,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Gorgeous,everyday; comfy; vacation,For sale,ShoesSandalBeads4,10140,Bjzm2LFHF6cwXKbfu,shoes
beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads5.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads5.png,Beige,No,1800,450,Beige,Colorful,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Gorgeous,everyday; comfy; vacation,For sale,ShoesSandalBeads5,10141,veLWy2EQQ49fq6F7p,shoes
boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots0.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots0.png,Green,No,560,140,Green,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,outdoorsy; work,For sale,ShoesKneeRubberboots0,5479,nvyQe4J4JosazJ46S,shoes
boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots1.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots1.png,Black,No,560,140,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,outdoorsy; work,For sale,ShoesKneeRubberboots1,11685,ffPXk8bFosbBzhxRo,shoes
boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots2.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots2.png,Blue,No,560,140,Blue,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,outdoorsy; work,For sale,ShoesKneeRubberboots2,11686,Hvinu73hgLPsmDkcM,shoes
boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots3.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots3.png,Red,No,560,140,Red,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,outdoorsy; work,For sale,ShoesKneeRubberboots3,11687,MkX86RRKQ9GkwfGaL,shoes
boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots4.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots4.png,Olive,No,560,140,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,outdoorsy; work,For sale,ShoesKneeRubberboots4,11688,NGSrsWRHfAtBKqPYz,shoes
business shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBusiness0.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBusiness0.png,Black,No,1300,325,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,formal; work,For sale,ShoesLowcutBusiness0,4730,JxbjRNkGXgodBD8P7,shoes
business shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBusiness1.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBusiness1.png,Brown,No,1300,325,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,formal; work,For sale,ShoesLowcutBusiness1,11455,sja7tXF4cPCa5hsrH,shoes
cleats,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike0.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike0.png,Blue,No,1200,300,Blue,Gray,1x1,Kicks,,1.0.0,Active,sporty; work,For sale,ShoesLowcutSpike0,5654,ozSLcS5AH7EbyuvKf,shoes
cleats,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike1.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike1.png,Light blue,No,1200,300,Light blue,Gray,1x1,Kicks,,1.0.0,Active,sporty; work,For sale,ShoesLowcutSpike1,10245,6kQs9rKWn47gLLs2M,shoes
cleats,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike2.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike2.png,Red,No,1200,300,Red,Gray,1x1,Kicks,,1.0.0,Active,sporty; work,For sale,ShoesLowcutSpike2,10246,NGWNC246yBWm3snJE,shoes
cleats,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike3.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike3.png,Yellow,No,1200,300,Yellow,Gray,1x1,Kicks,,1.0.0,Active,sporty; work,For sale,ShoesLowcutSpike3,10247,WkkwqXv9oS59HJzzT,shoes
cleats,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike4.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike4.png,Black,No,1200,300,Black,Gray,1x1,Kicks,,1.0.0,Active,sporty; work,For sale,ShoesLowcutSpike4,10248,Pr3hHw8YguTL57DwF,shoes
cleats,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike5.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike5.png,Orange,No,1200,300,Orange,Gray,1x1,Kicks,,1.0.0,Active,sporty; work,For sale,ShoesLowcutSpike5,10249,iiKeEbNN6S9tRZ3st,shoes
cleats,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike6.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike6.png,Green,No,1200,300,Green,Gray,1x1,Kicks,,1.0.0,Active,sporty; work,For sale,ShoesLowcutSpike6,10250,k2KmPiG39zPaP5aKE,shoes
cleats,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike7.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike7.png,Purple,No,1200,300,Purple,Gray,1x1,Kicks,,1.0.0,Active,sporty; work,For sale,ShoesLowcutSpike7,10251,QZLqNeTSRQishPzZX,shoes
comfy sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort0.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort0.png,Brown,No,1040,260,Brown,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy; vacation,For sale,ShoesSandalComfort0,5619,bH8H3cpWoFegDZKg3,shoes
comfy sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort1.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort1.png,White,No,1040,260,White,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy; vacation,For sale,ShoesSandalComfort1,10700,7qmEHHQRDzoZwjzqi,shoes
comfy sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort2.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort2.png,Green,No,1040,260,Green,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy; vacation,For sale,ShoesSandalComfort2,10701,XaesMFTS6T3GBL97H,shoes
comfy sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort3.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort3.png,Blue,No,1040,260,Blue,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy; vacation,For sale,ShoesSandalComfort3,10702,BPWe3svCXCzdrtMEr,shoes
comfy sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort4.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort4.png,Red,No,1040,260,Red,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy; vacation,For sale,ShoesSandalComfort4,10703,MQ7rNNpQR9ExjjDeW,shoes
comfy sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort5.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort5.png,Orange,No,1040,260,Orange,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy; vacation,For sale,ShoesSandalComfort5,10704,s4PZf4H5PuJR9XNbk,shoes
