Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Label Themes,Catalog,Filename,Internal ID,Unique Entry ID,category
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics0.png,Red & pink,No,700,175,Pink,Red,1x1,Kicks,,1.0.0,Active,sporty,For sale,SocksTexAerobics0,5197,Smui8G3P6D8WgqK9G,socks
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics1.png,Emerald & lime,No,700,175,Green,Light blue,1x1,Kicks,,1.0.0,Active,sporty,For sale,SocksTexAerobics1,9794,eZKx89GvGsXcSDiMk,socks
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics2.png,Purple & orange,No,700,175,Orange,Purple,1x1,Kicks,,1.0.0,Active,sporty,For sale,SocksTexAerobics2,9795,jWvfpeefbhQpHQFoM,socks
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics3.png,Light blue & salmon pink,No,700,175,Pink,Light blue,1x1,Kicks,,1.0.0,Active,sporty,For sale,SocksTexAerobics3,9796,nYBBFZjyvYjTSN4fD,socks
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics4.png,Yellow & blue,No,700,175,Blue,Yellow,1x1,Kicks,,1.0.0,Active,sporty,For sale,SocksTexAerobics4,9797,gYqiyt5aP9KjqNnXQ,socks
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan0.png,Beige,No,720,180,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,SocksTexAlan0,4742,stTCJiLMdhmZ2ztyw,socks
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan1.png,White,No,720,180,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,SocksTexAlan1,9058,XX9wX5KzyENyLGa5e,socks
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan2.png,Red,No,720,180,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,SocksTexAlan2,9059,7xkmotJQfLFN6Rohx,socks
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan3.png,Green,No,720,180,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,SocksTexAlan3,9060,NH6u8astq42zMebAa,socks
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan4.png,Blue,No,720,180,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,SocksTexAlan4,9061,Gardfqrryv6SLZSQB,socks
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan5.png,Black,No,720,180,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,SocksTexAlan5,9062,pLZq39rKg8rn454r4,socks
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle0.png,Blue,No,720,180,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal; work,For sale,SocksTexArgyle0,5806,QyJBC6G3E7dzXidaW,socks
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle1.png,Red,No,720,180,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal; work,For sale,SocksTexArgyle1,9921,9MeYsgc2wAGCmj4mC,socks
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle2.png,Green,No,720,180,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal; work,For sale,SocksTexArgyle2,9922,dm4YEXfYftcwG3NB8,socks
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle3.png,Beige,No,720,180,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal; work,For sale,SocksTexArgyle3,9923,KrrN2AHTcePZaMyMo,socks
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle4.png,Gray,No,720,180,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal; work,For sale,SocksTexArgyle4,9924,2LSJz8d2eCLmuyiMg,socks
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle5.png,White,No,720,180,White,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal; work,For sale,SocksTexArgyle5,9925,dT8t2ZMFSfktJkoDd,socks
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle6.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle6.png,Orange,No,720,180,Orange,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal; work,For sale,SocksTexArgyle6,9926,CyRT5FdBTnic9cYrF,socks
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle7.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle7.png,Pink,No,720,180,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal; work,For sale,SocksTexArgyle7,9927,9Gibgt5gRyngn6EuR,socks
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon0.png,Pink,No,600,150,Pink,Black,1x1,Kicks,,1.0.0,Cute,everyday; fairy tale; party; vacation,For sale,SocksTexRibbon0,4718,SerX2gLYQTKxmFi7W,socks
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon1.png,Yellow,No,600,150,Yellow,Green,1x1,Kicks,,1.0.0,Cute,everyday; fairy tale; party; vacation,For sale,SocksTexRibbon1,9053,KE3idPQwqM2kvbNFw,socks
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon2.png,Black,No,600,150,Black,White,1x1,Kicks,,1.0.0,Cute,everyday; fairy tale; party; vacation,For sale,SocksTexRibbon2,9054,NbaHgge5Zf54Y6dQT,socks
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon3.png,White,No,600,150,White,Pink,1x1,Kicks,,1.0.0,Cute,everyday; fairy tale; party; vacation,For sale,SocksTexRibbon3,9055,NXYXEomdp3yqkafZ7,socks
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon4.png,Blue,No,600,150,Light blue,Yellow,1x1,Kicks,,1.0.0,Cute,everyday; fairy tale; party; vacation,For sale,SocksTexRibbon4,9056,ZuzCi6zDF9G9Swfci,socks
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon5.png,Peacock blue,No,600,150,Green,Pink,1x1,Kicks,,1.0.0,Cute,everyday; fairy tale; party; vacation,For sale,SocksTexRibbon5,9057,ju47pefTtHj739pAr,socks
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded0.png,White,No,480,120,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,formal; work,For sale,SocksTexFolded0,5171,aL52HPePkC84gPQup,socks
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded1.png,Gray,No,480,120,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,formal; work,For sale,SocksTexFolded1,10017,a9aLEHyXSdpHqYLm8,socks
