Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Label Themes,Catalog,Filename,Internal ID,Unique Entry ID,category
A tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHAce0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHAce0.png,NA,No,560,140,Blue,White,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR,tops
acid-washed jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical0.png,Blue,No,1680,420,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; outdoorsy,For sale,TopsTexTopOuterLChemical0,5289,zAiLmCwSaWADqXkRf,tops
acid-washed jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical1.png,Black,No,1680,420,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; outdoorsy,For sale,TopsTexTopOuterLChemical1,9538,K96PFk2AuQFqPrKH3,tops
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen0.png,Black,No,1050,262,Black,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; comfy,For sale,TopsTexTopYshirtsLGakuranopen0,4366,rAfEdHYdt5e4AGTya,tops
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen1.png,Berry red,No,1050,262,Red,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; comfy,For sale,TopsTexTopYshirtsLGakuranopen1,7554,mGvZuvYbGma2REd6A,tops
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen2.png,Green,No,1050,262,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; comfy,For sale,TopsTexTopYshirtsLGakuranopen2,7555,YHLqiyRYuF8BwEgaF,tops
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen3.png,White,No,1050,262,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; comfy,For sale,TopsTexTopYshirtsLGakuranopen3,7556,N6nbrMGHwztxBWTMm,tops
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen4.png,Purple,No,1050,262,Purple,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; comfy,For sale,TopsTexTopYshirtsLGakuranopen4,7557,svQfLQXgrowTDaDoh,tops
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen5.png,Gray,No,1050,262,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; comfy,For sale,TopsTexTopYshirtsLGakuranopen5,7558,m279zqujD3zTbp44a,tops
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen6.png,Blue,No,1050,262,Blue,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; comfy,For sale,TopsTexTopYshirtsLGakuranopen6,7559,KzNwELnmeCmWBQMoD,tops
